word_1,word_2,distance
schoef aan bovenkant,schroef platte plaat,0.242048
piramide aan bovenkant,piramide,0.244887
rust op driehoek,wijnglas,0.584964
afgesneden driehoek bovenkant,afgesneden piramide,0.154054
balk bovenop horizontaal,robot,0.619481
kopje met lepel,balk door bol,0.38002
tafel als plateau,tafel eettafel,0.233764
twee ruiten bovenkant,schaap,0.65404
cillinder kegel rondje,ovalen steun onderkant,0.395213
twee cillinder bol,zonnepaneel,0.480678
bol driehoek zijkant,bol platte balk,0.195063
rond plateau vuurwerk pijl,bijzettafeltje met tuutje,0.425086
plateau lijkt zwembad,zwembad,0.191488
balk naar beneden,balk voor mok,0.286489
twee cillinders bovenop,glijbaan,0.556536
twee ronde kegels,rechtopstaande lepel sliert,0.273115
verrekijker sateliet,verrekijker,0.168449
punthoed wielen neus,punthoofd,0.622274
rechte lijnen figuren,graal beker houder,0.581947
motor van boot,deurklink,0.523963
raketmotoren,hanenkam,0.862777
neus piercing,neuspiercing,0.299921
plank houder,bakje plank,0.22849
pinokkio wetenschap kunst,boiler,0.812551
suiker pot,theekopje,0.37316
rollen schuine plank,buis door kopje,0.363666
indiaan,indiaan,1.19209e-07
trechter kom plaat,taart houder,0.386099
zwembad trap afscheiding,pippi langkous,0.736913
balhoofd armen neus,basketbal armpjes,0.289703
glijbaan speelplaats,glijbaan,0.0879744
theepot tol,vijzel,0.389817
stapels vierkante blokjes,spijker scherm blokjes,0.233541
hanenkam en puntneus,hanekam vierkant cirkel,0.322744
trofee met blokjes,gedraaide balk driehoek,0.385788
gelijk aan teken,afgekapt hoedje is teken,0.208051
vierkante staaf liggend,shuttle balkje bovenop,0.385728
vierkant balletje cirkel,staaf bolletje cirkel,0.123704
mengkom door tafel,tafeltje met schoteltje,0.25352
langwerpig hexagon neus,doorboord vierkant glijbaan,0.233125
halve cirkel kegel,blokje onderin cirkel,0.182248
bolletjes twee stokken,scherm achter spijkers,0.40242
bolle neus driehoek,bolletje driehoek staafje,0.187331
spijker schuin hartje,spijker hartje schijf,0.144372
vierkante ondergrond,kralen vierkanten plaat,0.342959
vierkante stok vooraanzicht,bolletje armen staaf,0.308445
schuine cilinder vierkant,tutu torens,0.542137
kegels vierkantjes zijkant,ballonnetjes vierkanten blokjes,0.124494
vierkant oog met twee schroef oren,champignon kapsel robot,0.390832
scherp driehoekige pet,pyramide pet,0.295328
mogelijk mensenlijk lichaam,menselijke trofee,0.45736
pastoor achtig hoedje,pastor met een is teken,0.439936
rechthoekig balk op de beker,robot stofzuigende snoepmachine,0.450141
appelvormig beker,clown toeter,0.559201
tafel vormig pet,ouderwetse pistool,0.336205
satelliet kop met pinokkio neus,pinokkio sitcom satelliet,0.268988
oude camera toestel,oude zijwaartse cameratoestel,0.265866
dikke handvaten beker,elektrische fiets meter,0.506562
een watermeloen neus,onkruid schotel,0.314748
pacman oortje,pacman helicopter landing,0.229746
symmetrische koffie beker,diamanten kop koffie oren,0.21114
hangende koffie beker,moderne lantaarnpaal lamp,0.45362
een groetende robotje,groetende stofzuiger robot,0.355476
boomstam in beker,twee waterdruppels,0.393953
stekker robot vierkant,robot plaat antenne,0.170352
