"Pair";"Session";"Fribble_nr";"Name_a";"Name_b";"labels";"snautdist"
"001002";"pre";"1";"schoef aan bovenkant";"twee pinnen vierkant";"schoef aan bovenkant : twee pinnen vierkant";0,325443
"001002";"pre";"2";"piramide aan bovenkant";"driehoek op bovenkant";"piramide aan bovenkant : driehoek op bovenkant";0,1574
"001002";"pre";"3";"rust op driehoek";"staat op driehoek";"rust op driehoek : staat op driehoek";0,128068
"001002";"pre";"4";"afgesneden driehoek bovenkant";"is teken zijkant";"afgesneden driehoek bovenkant : is teken zijkant";0,248234
"001002";"pre";"5";"balk bovenop horizontaal";"meest compact";"balk bovenop horizontaal : meest compact";0,626562
"001002";"pre";"6";"kopje met lepel";"bolletje met pin";"kopje met lepel : bolletje met pin";0,245556
"001002";"pre";"7";"tafel als plateau";"balk bovenin";"tafel als plateau : balk bovenin";0,496645
"001002";"pre";"8";"twee ruiten bovenkant";"bovenkant doorboord vierkant";"twee ruiten bovenkant : bovenkant doorboord vierkant";0,192449
"001002";"pre";"9";"cillinder kegel rondje";"ovaal voetstuk";"cillinder kegel rondje : ovaal voetstuk";0,440602
"001002";"pre";"10";"twee cillinder bol";"stok door onderkant";"twee cillinder bol : stok door onderkant";0,304503
"001002";"pre";"11";"bol driehoek zijkant";"bolletje in het midden";"bol driehoek zijkant : bolletje in het midden";0,293174
"001002";"pre";"12";"rond plateau vuurwerk pijl";"niks bovenkant onderkant";"rond plateau vuurwerk pijl : niks bovenkant onderkant";0,47641
"001002";"pre";"13";"plateau lijkt zwembad";"staat op vierkant";"plateau lijkt zwembad : staat op vierkant";0,422209
"001002";"pre";"14";"balk naar beneden";"balletje op bovenkant";"balk naar beneden : balletje op bovenkant";0,325813
"001002";"pre";"15";"twee cillinders bovenop";"vierkant door midden";"twee cillinders bovenop : vierkant door midden";0,39757
"001002";"pre";"16";"twee ronde kegels";"piek op bovenkant";"twee ronde kegels : piek op bovenkant";0,430797
