"fribble","pair_predist","pair_postdist","visdist"
1,0.340667437249804,0.418494894283422,0.1094056
2,0.33248601667582,0.411783624320263,0.0943593333333333
3,0.35563385616987,0.449213026031387,0.129096
4,0.337759254453705,0.410192228805629,0.0849906666666667
5,0.326235143607491,0.413122783889685,0.0748664
6,0.340646646684035,0.433444315771917,0.0794924
7,0.337979830708347,0.404614119616257,0.0957817333333333
8,0.343842455558488,0.424175092385662,0.1004782
9,0.326291282381862,0.389007116661906,0.0944030666666667
10,0.355256164493035,0.436518248675327,0.0885916
11,0.32153683500365,0.388159160892804,0.0833964
12,0.342088574403884,0.416109604124092,0.0991884666666667
13,0.369221641914919,0.446263592906525,0.148323333333333
14,0.325497558107612,0.416402037441731,0.0938004
15,0.354051704797899,0.410012180478347,0.0830187333333333
16,0.338946171291171,0.413886015309434,0.1001066
