"target","trans_intercept","trans_slope","env_intercept","env_slope","ges_intercept","ges_slope","f0_intercept","f0_slope","pair","avg_dist","post","pre","prepost_change"
1,1.10729828885795,-0.458121217179885,3.6350043613024,-0.137683557156245,2.67573345342745,-0.74700133097763,0.141466616620717,-0.0273155248429985,4,0.3731535,0.406919,0.283583,-0.123336
1,1.39516844687303,0.0210952211302238,3.49223186113736,-0.338543853237625,2.76204782019797,-0.802771410723374,0.236136772793423,0.0126858969373404,5,0.4490335,0.280387,0.392087,0.1117
1,0.760724698577973,-0.134192660539241,2.79295004543144,-0.264859811519259,2.76161344911334,-0.280719337558083,0.12504640455589,-0.0126393287681831,7,0.4588635,0.318054,0.481298,0.163244
1,1.63697392724927,-0.300829308963015,3.53761579785142,-0.239109217587521,2.72826634359491,-0.864980779889456,0.132467749032451,-0.0118242580697882,8,0.13862905,0.147628,0.1736,0.025972
1,1.35797785498732,-0.583999294633729,3.38598195130276,-0.495186113132171,2.58644289480596,-0.981737648108485,0.174002050039317,-0.0158859717503233,9,0.251448,0.292138,0.399802,0.107664
1,1.10729828885795,-0.542947220602419,3.28131114940823,-0.324168409571658,2.72533485958964,-0.932132452422851,0.229648660659469,0.00900059717648679,10,0.3234625,0.286543,0.183567,-0.102976
1,1.68096818488835,-0.477978958257057,3.70507616216686,-0.22867092130815,2.94342261675861,-1.01339917874081,0.147885054642111,-0.0254665607571492,11,0.4541205,0.467487,0.182213,-0.285274
1,0.693147180559945,-1.80007718171192e-16,2.71234610912005,-0.0514708000146653,2.83497189346268,-0.0148187948737798,0.0605427520389286,-0.0492467540640495,12,0.253002,0.118627,0.249065,0.130438
1,1.33572262288324,-0.630765856410751,3.26807874294908,-0.799251452246263,2.34535382122308,-1.29479868440412,0.136783351954918,-0.0389102513493583,13,0.3168765,0.180947,0.563121,0.382174
1,1.56677168306989,-0.202234337494772,3.27805444042471,-0.415321782383604,2.43053226985201,-1.12969987691932,0.169243406286004,-0.0337254661157222,14,0.46539,0.511851,0.589311,0.0774600000000001
1,1.5924634630411,0.376920501088317,3.61401253717786,-0.292539723530713,2.67300865721405,-1.12656024142084,0.231864451371556,-0.00983043474790469,15,0.3233445,0.168226,0.411774,0.243548
1,2.08692091915455,-0.538844461007485,3.84769905363591,-0.639369926764353,2.81660637504668,-1.23653059875728,0.272724748401547,-0.0448451566921806,16,0.4917515,0.242231,0.272825,0.030594
1,0.760724698577973,-0.0493666571167076,3.34272866044263,-0.274349532308047,2.7606861863848,-0.82554065521971,0.0594108341107422,-0.0259934090118585,17,0.1982385,0.341902,0.219621,-0.122281
1,1.22282281895127,-0.471764091568389,3.20681155041302,-0.490836361071455,2.53013092531002,-0.641250521825026,0.182403146472824,-0.0333543768083262,18,0.1754095,0.231317,0.404459,0.173142
1,1.27589844080436,-0.552518485958855,3.36679346221324,-0.263623542174379,2.33249132659639,-0.900830438335037,0.21643495415913,-0.0277804435896955,20,0.3107485,0.276869,0.320968,0.044099
