"StartTime","EndTime","director","trial","target","pair","peaks1","peaks2","psum","round"
5570,54720,"B","1.1_ref",9,"003004",43,91,134,1
82620,103290,"A","1.2_ref",6,"003004",50,18,68,1
124670,173300,"B","1.3_ref",15,"003004",28,84,112,1
183260,197730,"A","1.4_ref",14,"003004",38,12,50,1
207190,223010,"B","1.5_ref",13,"003004",12,42,54,1
249440,271890,"A","1.6_ref",16,"003004",56,27,83,1
282110,314310,"B","1.7_ref",11,"003004",40,75,115,1
352860,385380,"A","1.8_ref",8,"003004",77,31,108,1
421800,439450,"B","1.9_ref",3,"003004",21,36,57,1
445210,467490,"A","1.10_ref",10,"003004",63,16,79,1
481280,523680,"B","1.11_ref",5,"003004",30,73,103,1
537290,561910,"A","1.12_ref",4,"003004",68,20,88,1
580800,593790,"B","1.13_ref",7,"003004",10,35,45,1
608610,623410,"A","1.14_ref",2,"003004",41,21,62,1
634380,646390,"B","1.15_ref",1,"003004",12,30,42,1
667250,698570,"A","1.16_ref",12,"003004",89,20,109,1
708800,721770,"B","2.1_ref",14,"003004",7,31,38,2
726380,741210,"A","2.2_ref",9,"003004",31,17,48,2
752540,873510,"B","2.3_ref",16,"003004",104,239,343,2
885050,899070,"A","2.4_ref",3,"003004",37,8,45,2
920010,932330,"B","2.5_ref",10,"003004",12,20,32,2
945520,960790,"A","2.6_ref",11,"003004",49,14,63,2
970850,983940,"B","2.7_ref",12,"003004",20,23,43,2
1037160,1054410,"A","2.8_ref",7,"003004",46,11,57,2
1073270,1080180,"B","2.9_ref",6,"003004",6,11,17,2
1120860,1130000,"A","2.10_ref",13,"003004",22,9,31,2
1135350,1148520,"B","2.11_ref",2,"003004",9,32,41,2
1161780,1182000,"A","2.12_ref",15,"003004",66,21,87,2
1191400,1205160,"B","2.13_ref",8,"003004",14,29,43,2
1234630,1243800,"A","2.14_ref",1,"003004",13,9,22,2
1259060,1285640,"B","2.15_ref",4,"003004",22,42,64,2
1311650,1340350,"A","2.16_ref",5,"003004",70,25,95,2
1347240,1365930,"B","3.1_ref",9,"003004",19,27,46,3
1372160,1381130,"A","3.2_ref",10,"003004",21,4,25,3
1393330,1405890,"B","3.3_ref",15,"003004",10,15,25,3
1409660,1417750,"A","3.4_ref",12,"003004",10,6,16,3
1434770,1441220,"B","3.5_ref",1,"003004",2,16,18,3
1453780,1459810,"A","3.6_ref",4,"003004",9,3,12,3
1465290,1484250,"B","3.7_ref",7,"003004",23,26,49,3
1489680,1496090,"A","3.8_ref",16,"003004",12,5,17,3
1512830,1519370,"B","3.9_ref",13,"003004",10,16,26,3
1535390,1540310,"A","3.10_ref",2,"003004",10,3,13,3
1553110,1560590,"B","3.11_ref",11,"003004",7,13,20,3
1568710,1573180,"A","3.12_ref",6,"003004",5,1,6,3
1586610,1592610,"B","3.13_ref",5,"003004",5,5,10,3
1599740,1618130,"A","3.14_ref",8,"003004",37,18,55,3
1624340,1645310,"B","3.15_ref",3,"003004",32,20,52,3
1652410,1674960,"A","3.16_ref",14,"003004",27,36,63,3
1703770,1711900,"B","4.1_ref",10,"003004",5,18,23,4
1730500,1740600,"A","4.2_ref",15,"003004",12,5,17,4
1751300,1756660,"B","4.3_ref",6,"003004",7,14,21,4
1773610,1777550,"A","4.4_ref",1,"003004",4,2,6,4
1787090,1793530,"B","4.5_ref",16,"003004",4,6,10,4
1807230,1811600,"A","4.6_ref",13,"003004",5,1,6,4
1826290,1832600,"B","4.7_ref",12,"003004",5,5,10,4
1839260,1855640,"A","4.8_ref",7,"003004",34,13,47,4
1868330,1874900,"B","4.9_ref",2,"003004",5,14,19,4
1889590,1900730,"A","4.10_ref",9,"003004",27,14,41,4
1920730,1929860,"B","4.11_ref",14,"003004",17,9,26,4
1937960,1946960,"A","4.12_ref",5,"003004",5,10,15,4
2014890,2021270,"B","4.13_ref",8,"003004",8,7,15,4
2070630,2080360,"A","4.14_ref",11,"003004",12,10,22,4
2091190,2101270,"B","4.15_ref",4,"003004",5,3,8,4
2118640,2129230,"A","4.16_ref",3,"003004",24,9,33,4
2132960,2140590,"B","5.1_ref",7,"003004",5,16,21,5
2168380,2173950,"A","5.2_ref",6,"003004",4,5,9,5
2190260,2197870,"B","5.3_ref",11,"003004",5,10,15,5
2213970,2221280,"A","5.4_ref",10,"003004",17,9,26,5
2229900,2257830,"B","5.5_ref",9,"003004",51,48,99,5
