"target","pair","trans_intercept","trans_slope","env_intercept","env_slope","ges_intercept","ges_slope","f0_intercept","f0_slope","avg_dist","post","pre","prepost_change"
1,3004,1.2904003369693,-0.38435587538981,2.86939818146649,-0.477325936284593,2.6317651807199,-0.355414751023361,0.196584385497967,0.0131561835565941,0.3766265,0,0.532492,0.532492
1,5006,1.18167947262935,-0.414130188765234,3.11446048142175,-0.157629584362202,2.78508526404068,-0.1255828812779,0.101121754008826,-0.0414802883986357,0.2135975,0.189523,0.352086,0.162563
1,7008,1.72211153121027,-0.26469604926904,3.51774101192212,-0.44109643326992,3.73136134970223,-0.186649585358274,0.152715311145464,-0.062634500444372,0.4277035,0.313376,0.180432,-0.132944
1,9010,1.03972077083992,-0.398189583922899,3.05092275392641,-0.644692277723493,3.11613168503526,-0.289169214145797,0.139107649259008,-0.000198287273462712,0.438399,0.285676,0.325318,0.039642
1,13014,1.48237647083378,-0.447670173252305,2.9782305107384,-0.49834457425384,2.93358075135566,-0.427352961664881,0.221316874950079,-0.00382180006263908,0.435569,0.408871,0.385181,-0.02369
1,15016,1.03972077083992,-0.3981895839229,2.76354063920785,-0.490247932865301,2.8544492834859,-0.292861432356126,0.13353828919625,-0.0233150786459989,0.6323245,0,0.34094,0.34094
1,17018,1.05935127678265,-0.497356043821561,3.48300972021232,-0.349801425958269,3.46177663781968,-0.200694317847372,0.166827709227081,-0.0156786025708758,0.337009,0.471812,0.426547,-0.045265
1,19020,1.05465613062153,-0.414041623282774,3.19862286376921,-0.225304261924674,3.34238527199732,-0.17925930739123,0.138133169937166,0.0111248811000508,0.3639505,5.96046e-08,0.453762,0.4537619403954
1,21022,1.2904003369693,-0.301858710751804,3.6598708416386,-0.336635418896717,3.33468313147147,-0.106323519247603,0.177666212180437,0.0237558796998765,0.3757775,0.23079,0.295,0.06421
1,25026,0.991773758764621,-0.106018495530023,3.40545695228192,-0.184433766631562,3.57870070285579,-0.140372439108051,0.159096002579674,-0.0470604132179991,0.267367,0.0617023,0.377161,0.3154587
1,27028,1.2904003369693,-0.340001595777757,3.19201379779439,-0.381234116304321,2.92194410903552,-0.214961228259297,0.176062820002231,-0.0292542552149886,0.4401815,0.294241,0.41198,0.117739
1,35036,0.924196240746594,-0.45880773681665,2.84348108859606,-0.651490387444334,2.81691503616336,-0.686370038796287,0.200561606456759,-0.00898556322104041,0.32231,0,0.64462,0.64462
1,37038,1.15524530093324,-0.206062309210036,3.3936687618877,-0.327206414645096,3.06945047376386,-0.303544399960849,0.0610339999762739,-0.00889307212424835,0.3559555,0.252917,0.531878,0.278961
1,39040,1.07691136272562,-0.313224138741545,2.9846973986606,-0.442579725375717,2.924054349049,0.045494942764843,0.207617438817684,-0.056605977326302,0.5007385,0.113248,0.466958,0.35371
1,41042,1.05935127678265,-0.530233177371341,3.07660056878247,-0.771825333084501,3.24688117822662,-0.108463595528045,0.210248099560019,-0.0172436934954746,0.2204945,0.652272,0.514659,-0.137613
1,43044,1.07691136272562,-0.532226141467888,3.15222273216656,-0.511898047849735,3.04063737109825,-0.355411638378313,0.133940404045255,-0.00723200574989745,0.433981,0.450776,0.585013,0.134237
1,45046,1.22282281895127,0.179604065626371,3.48768916068097,-0.251079175009188,3.26827934901471,-0.264975753242006,0.170349571920252,-0.0113005826787864,0.07424565,0.23656,0.228383,-0.00817699999999999
1,47048,0.876249228671297,-0.363596528947566,2.10736642264632,-0.786337123728899,2.71990586893134,-0.17838263711546,0.122473808268127,0.00682483930388141,0.444939,0,0.502298,0.502298
1,49050,1.33834734904459,-0.481895922043421,2.68936319239143,-1.12422499944408,3.25604026515563,-0.373125340504514,0.19817918976736,-0.0100735598052691,0.3821875,0.199435,0.392238,0.192803
1,51052,1.327590928855,0.0320489580140269,3.62680422702642,-0.211017654657403,3.27409171479879,-0.0917274983215956,0.230846429196259,0.0192664586060587,0.1490905,0.290158,0.445044,0.154886
1,53054,1.39142297089768,-0.478094348218304,3.47117401024026,-0.429466104328603,2.97266554526465,-0.274529379753953,0.190360042776957,-0.0136901766594003,0.4877095,0.255468,0.373736,0.118268
1,55056,1.58902691517397,-0.377936985423694,3.46635059312801,-0.756911423889329,3.30803180447863,-0.547979479726488,0.182165177595328,0.0208772194971715,0.4979375,0.171222,0.43988,0.268658
1,57058,1.98398098114592,-0.227876944182685,3.61225478873386,-0.362224211245277,3.07037139096644,-0.245304099881039,0.268030884496304,-0.0205529777962433,0.0928040596045,0.200539,0.363657,0.163118
