"StartTime","EndTime","director","trial","target","pair","range1","range2","f0sum","round"
5570,54720,"B","1.1_ref",9,"003004",0.133026,0.128168,0.261194,1
82620,103290,"A","1.2_ref",6,"003004",0.100868,0.208319,0.309187,1
124670,173300,"B","1.3_ref",15,"003004",0.176988,0.145446,0.322434,1
183260,197730,"A","1.4_ref",14,"003004",0.119969,0.09598,0.215949,1
207190,223010,"B","1.5_ref",13,"003004",0.212012,0.134718,0.34673,1
249440,271890,"A","1.6_ref",16,"003004",0.140746,0.129744,0.27049,1
282110,314310,"B","1.7_ref",11,"003004",0.146269,0.141262,0.287531,1
352860,385380,"A","1.8_ref",8,"003004",0.144489,0.127555,0.272044,1
421800,439450,"B","1.9_ref",3,"003004",0,0.19501,0.19501,1
445210,467490,"A","1.10_ref",10,"003004",0.000498,0.044302,0.0448,1
481280,523680,"B","1.11_ref",5,"003004",0.149604,0.156493,0.306097,1
537290,561910,"A","1.12_ref",4,"003004",0.092185,0.129581,0.221766,1
580800,593790,"B","1.13_ref",7,"003004",0.185302,0.109999,0.295301,1
608610,623410,"A","1.14_ref",2,"003004",0.131158,0.11688,0.248038,1
634380,646390,"B","1.15_ref",1,"003004",0,0.13456,0.13456,1
667250,698570,"A","1.16_ref",12,"003004",0.140177,0.123934,0.264111,1
708800,721770,"B","2.1_ref",14,"003004",0.185908,0.137331,0.323239,2
726380,741210,"A","2.2_ref",9,"003004",0.09701,0.064489,0.161499,2
752540,873510,"B","2.3_ref",16,"003004",0.212503,0.19312,0.405623,2
885050,899070,"A","2.4_ref",3,"003004",0.008046,0.153606,0.161652,2
920010,932330,"B","2.5_ref",10,"003004",0,0.140029,0.140029,2
945520,960790,"A","2.6_ref",11,"003004",0.168739,0.208194,0.376933,2
970850,983940,"B","2.7_ref",12,"003004",0.164756,0.171964,0.33672,2
1037160,1054410,"A","2.8_ref",7,"003004",0.130087,0.160893,0.29098,2
1073270,1080180,"B","2.9_ref",6,"003004",0.22954,0.169166,0.398706,2
1120860,1130000,"A","2.10_ref",13,"003004",0.147125,0.102672,0.249797,2
1135350,1148520,"B","2.11_ref",2,"003004",0.177803,0.161232,0.339035,2
1161780,1182000,"A","2.12_ref",15,"003004",0.190935,0.211002,0.401937,2
1191400,1205160,"B","2.13_ref",8,"003004",0.193882,0.215998,0.40988,2
1234630,1243800,"A","2.14_ref",1,"003004",0.188988,0.165521,0.354509,2
1259060,1285640,"B","2.15_ref",4,"003004",0.211446,0.110285,0.321731,2
1311650,1340350,"A","2.16_ref",5,"003004",0.165997,0.149965,0.315962,2
1347240,1365930,"B","3.1_ref",9,"003004",0.137146,0.104266,0.241412,3
1372160,1381130,"A","3.2_ref",10,"003004",0.14934,0.054104,0.203444,3
1393330,1405890,"B","3.3_ref",15,"003004",0.149564,0.112879,0.262443,3
1409660,1417750,"A","3.4_ref",12,"003004",0.135828,0.163821,0.299649,3
1434770,1441220,"B","3.5_ref",1,"003004",0,0.151019,0.151019,3
1453780,1459810,"A","3.6_ref",4,"003004",0.193941,0.187715,0.381656,3
1465290,1484250,"B","3.7_ref",7,"003004",0.250302,0.189181,0.439483,3
1489680,1496090,"A","3.8_ref",16,"003004",0.177406,0.211724,0.38913,3
1512830,1519370,"B","3.9_ref",13,"003004",0.229393,0.123081,0.352474,3
1535390,1540310,"A","3.10_ref",2,"003004",0.143482,0.07106,0.214542,3
1553110,1560590,"B","3.11_ref",11,"003004",0.007812,0.080637,0.088449,3
1568710,1573180,"A","3.12_ref",6,"003004",0.124836,0.084245,0.209081,3
1586610,1592610,"B","3.13_ref",5,"003004",0,0.133179,0.133179,3
1599740,1618130,"A","3.14_ref",8,"003004",0.198551,0.175109,0.37366,3
1624340,1645310,"B","3.15_ref",3,"003004",0.161529,0.164665,0.326194,3
1652410,1674960,"A","3.16_ref",14,"003004",0.15209,0.149933,0.302023,3
1703770,1711900,"B","4.1_ref",10,"003004",0.001471,0.124535,0.126006,4
1730500,1740600,"A","4.2_ref",15,"003004",0.141835,0.128266,0.270101,4
1751300,1756660,"B","4.3_ref",6,"003004",0.074386,0.114316,0.188702,4
1773610,1777550,"A","4.4_ref",1,"003004",0.171312,0.086665,0.257977,4
1787090,1793530,"B","4.5_ref",16,"003004",0,0.149459,0.149459,4
1807230,1811600,"A","4.6_ref",13,"003004",0.131334,0.033085,0.164419,4
1826290,1832600,"B","4.7_ref",12,"003004",0,0.122803,0.122803,4
1839260,1855640,"A","4.8_ref",7,"003004",0.137971,0.128854,0.266825,4
1868330,1874900,"B","4.9_ref",2,"003004",0.000418,0.135674,0.136092,4
1889590,1900730,"A","4.10_ref",9,"003004",0.15159,0.121838,0.273428,4
1920730,1929860,"B","4.11_ref",14,"003004",0.086582,0.181108,0.26769,4
1937960,1946960,"A","4.12_ref",5,"003004",0.084707,0.112976,0.197683,4
2014890,2021270,"B","4.13_ref",8,"003004",0.026502,0.138513,0.165015,4
2070630,2080360,"A","4.14_ref",11,"003004",0.13421,0.137331,0.271541,4
2091190,2101270,"B","4.15_ref",4,"003004",0.101355,0.079693,0.181048,4
2118640,2129230,"A","4.16_ref",3,"003004",0.1334,0.182868,0.316268,4
2132960,2140590,"B","5.1_ref",7,"003004",0.102448,0.169348,0.271796,5
2168380,2173950,"A","5.2_ref",6,"003004",0.111105,0.097216,0.208321,5
2190260,2197870,"B","5.3_ref",11,"003004",0.010948,0.185716,0.196664,5
2213970,2221280,"A","5.4_ref",10,"003004",0.168993,0.128117,0.29711,5
2229900,2257830,"B","5.5_ref",9,"003004",0.165071,0.124952,0.290023,5
2269140,2273580,"A","5.6_ref",4,"003004",0.106745,0,0.106745,5
2287790,2290670,"B","5.7_ref",13,"003004",0.121875,0.225352,0.347227,5
2304360,2311970,"A","5.8_ref",12,"003004",0.133547,0.060091,0.193638,5
2321680,2328650,"B","5.9_ref",1,"003004",0.019531,0.135745,0.155276,5
2351550,2354410,"A","5.10_ref",8,"003004",0.154175,0,0.154175,5
2374980,2381510,"B","5.11_ref",15,"003004",0.121936,0.099236,0.221172,5
2397970,2404040,"A","5.12_ref",14,"003004",0.224254,0,0.224254,5
